Year,Beijing_Enterprise,Beijing_Output,Tianjin_Enterprise,Tianjin_Output,Hebei_Enterprise,Hebei_Output,Shanxi_Enterprise,Shanxi_Output,InnerMongolia_Enterprise,InnerMongolia_Output,Liaoning_Enterprise,Liaoning_Output,Jilin_Enterprise,Jilin_Output,Heilongjiang_Enterprise,Heilongjiang_Output,Shanghai_Enterprise,Shanghai_Output,Jiangsu_Enterprise,Jiangsu_Output,Zhejiang_Enterprise,Zhejiang_Output,Anhui_Enterprise,Anhui_Output,Fujian_Enterprise,Fujian_Output,Jiangxi_Enterprise,Jiangxi_Output,Shandong_Enterprise,Shandong_Output,Henan_Enterprise,Henan_Output,Hubei_Enterprise,Hubei_Output,Hunan_Enterprises,Hunan_Output,Guangdong_Enterprise,Guangdong_Output,Guangxi_Enterprise,Guangxi_Output,Hainan_Enterprise,Hainan_Output,Chongqing_Enterprise,Chongqing_Output,Sichuan_Enterprise,Sichuan_Output,Guizhou_Enterprise,Guizhou_Output,Yunnan_Enterprise,Yunnan_Output,Tibet_Enterprise,Tibet_Output,Shaanxi_Enterprise,Shaanxi_Output,Gansu_Enterprise,Gansu_Output,Qinghai_Enterprise,Qinghai_Output,Ningxia_Enterprise,Ningxia_Output,Xinjiang_Enterprise,Xinjiang_Output
  2006,6400,8210,6301,8527.7,10634,13489.8,4668,5902.84,3075,4140.05,14754,14167.95,3249,4752.72,2956,5440.17,14404,18573.13,36319,41410.4,45686,29129.94,6523,7945.17,13755,10005.08,5333,4245.49,31936,38780.1,11895,13889.77,7546,7454.07,8999,6131.18,37494,44674.75,4051,3356.76,595,640.26,3208,3213.45,8995,7934.41,2594,2066.77,2602,3393.09,204,21.39,3375,4442.81,1733,2483.56,435,640.66,761,859.7,1481,2683.44
  2007,6397,9648.38,6361,10075.07,10870,17054.78,4472,7791.71,3364,5812.96,16556,18249.53,3984,6486.01,3172,6143.17,15099,22259.94,41841,53316.38,51604,36073.93,8111,11162.16,15178,12517.91,6028,6194.18,36145,49873,13510,20442.21,8996,9601.52,10201,8464.08,42260,55252.86,4408,4587.35,488,1002.78,3916,4363.25,10709,11047.04,2296,2520.36,2698,4298.29,100,22.82,3372,5692.33,1841,3231.52,471,822.72,745,1070.71,1575,3296.61
  2008,7205,10413.09,7950,12503.25,12447,23030.73,4415,10023.87,3993,8740.18,21876,24769.09,5257,8406.85,4392,7624.54,18792,25120.92,65495,67798.68,58816,40832.1,11392,13312.59,17212,15212.81,7367,8499.58,42629,62958.53,18700,26028.41,12067,13454.94,12391,11553.31,52574,65424.61,5427,6071.98,548,1103.07,6119,5755.9,13725,14761.86,2676,3111.13,3320,5144.58,88,27.29,4025,7480.79,1940,3667.52,515,1103.1,901,1366.46,1859,4276.05
  2009,6890,11039.13,8326,13083.63,13096,24062.76,4023,9249.98,4465,10699.44,23364,28152.73,5936,10026.55,4408,7301.6,17906,24091.26,60817,73200.03,59971,41035.29,14122,18732,18154,16762.82,7539,9783.96,45518,71209.42,18105,27708.15,14027,15567.02,13311,13507.64,52188,68275.77,5678,6880.04,494,1057.45,6412,6772.9,13267,18071.68,2791,3426.69,3489,5197.45,90,33.33,4480,8470.4,1987,3770.38,523,1080.35,969,1461.58,2018,4001.12
  2010,6884,13699.84,7947,16751.82,13927,31143.29,4240,12471.33,4611,13406.11,23832,36219.42,6181,13098.35,4596,9535.15,16684,30114.41,64136,92056.48,64364,51394.2,16277,25875.87,19227,21901.23,7908,13883.06,44037,83851.4,19548,34995.53,16106,21623.12,13844,19008.83,53389,85824.64,6583,9644.13,497,1381.25,7130,9143.55,13706,23147.38,2963,4206.37,3599,6464.63,97,41.36,4564,11199.84,2000,4882.68,555,1481.99,975,1924.39,2465,5341.9
  2011,3746,14513.63,5013,20862.74,11570,39698.8,3675,16013.83,4175,17774.82,16914,41776.73,5158,16917.61,3377,11514.56,9962,32445.15,43368,107680.68,34698,56410.48,12432,NA,14116,27443.9,6481,17949.38,35813,99504.98,18328,46856.14,10633,28073.07,12477,26386.58,38305,94860.79,5046,12836.57,358,1600.13,4778,11847.06,12085,30485.09,2329,5519.96,2773,7780.83,56,48.19,3684,14283.48,1371,6175.24,386,1893.54,764,2491.44,1738,6720.85
  2012,3692,15596.21,5342,23427.5,12360,43048.65,3905,NA,4244,18192.03,17347,NA,5286,NA,3911,NA,9772,31548.41,45859,120124.91,36496,59124.16,14514,NA,15333,29704.66,7217,NA,37625,114707.29,19237,NA,12441,NA,12785,NA,37790,NA,5239,NA,377,1746.57,4985,13104.02,12719,NA,2752,NA,3211,NA,64,51.6,4284,NA,1735,NA,423,NA,865,NA,1959,NA
  2013,3641,17370.88,5511,26400.37,13968,46316.66,3979,NA,4404,20098.35,17305,NA,5376,22061.37,4398,13719.3,9796,32088.88,48787,134648.91,39561,62980.29,16193,NA,16120,NA,8126,NA,40467,129906.01,20573,NA,14650,39208.98,13598,NA,41184,NA,5495,NA,388,1779.22,5559,15824.86,12998,NA,3576,NA,3551,NA,76,62.22,4751,NA,1992,NA,522,NA,1044,NA,2224,NA
  2014,3686,18452.9,5501,28078.82,14792,47675.9,3906,NA,4413,19969.38,15707,NA,5311,23540.95,4305,13423.55,9469,32665.19,48708,143016.94,40841,NA,17762,NA,16744,NA,8996,NA,40756,NA,21748,NA,15957,NA,13723,NA,41133,NA,5447,NA,382,NA,6158,18782.33,13267,NA,3895,NA,3797,NA,97,74.85,5081,20142.06,2091,NA,568,NA,1170,NA,2477,NA
  2015,3548,17449.63,5525,28016.75,15295,NA,3845,NA,4404,19133.26,12304,NA,5682,NA,4162,NA,8994,31049.57,48488,NA,41167,NA,19077,NA,17240,NA,9941,NA,41485,NA,22892,NA,16413,NA,13992,NA,42113,NA,5518,NA,380,NA,6608,21404.66,13525,NA,4482,NA,3876,NA,104,NA,5413,NA,2148,NA,575,NA,1245,NA,2707,NA
  2016,3340,18087.27,5203,27401.68,14764,NA,3548,NA,4289,NA,8025,NA,6003,NA,3946,NA,8351,31136.03,47900,NA,40128,NA,19838,NA,17262,NA,10931,NA,39567,NA,23679,NA,16296,NA,14386,NA,42688,NA,5464,NA,337,NA,6782,23906.58,13819,NA,5123,NA,4194,NA,108,NA,5862,NA,2105,NA,593,NA,1174,NA,2894,NA
  2017,3231,NA,4286,NA,14790,NA,3835,NA,2801,NA,6626,NA,5971,NA,3731,NA,8122,36094.36,45414,NA,39949,NA,18883,NA,17348,NA,10889,NA,38147,NA,22023,NA,15097,NA,15201,NA,47203,NA,5723,NA,335,NA,6684,NA,13904,NA,5311,NA,4186,NA,116,NA,6271,NA,1905,NA,569,NA,1223,NA,2955,NA
